,test_contents,sentiment,bow,tfidf,w2v
804,use fitify app s costly recommend,0,1,1,1
636,payment registration credit card,0,0,0,1
44,amazing fitness platform kudo chris,1,1,1,1
59,class,1,1,0,1
23,ok ve download app today start day free trial look thing pretty basic impression meal nutrition thing think update barcode scanner scan food drink get shop e sandwich drink ect keep thing document youtube channel nay play review experience app,0,0,0,1
1317,careful auto renewal don t notify refund policy soon money come account,0,0,0,1
783,support team awesome download app connection google fit work month later fail security update contact team fix week workout fantastic easy layout watch app enjoy,1,0,0,1
1417,unfortunately app usuable moment login timeout issue week,0,0,0,1
175,app help tremendously previous knowledge gym amplify workout keep motivated fresh technique hone diet brilliant,1,1,1,1
1384,update ve app year love problem week will not open program sign unusable current state centr fix centr real tool change body composition perfect introduction weight training experience body lean strong appreciate encouragement guidance training food consumption,0,0,1,1
1324,complete program well healthy type life training recepie motivation highly recommend,1,1,1,1
453,app phone cntr hand,1,1,0,1
1183,definitely motivate option suit need love,1,1,1,1
896,awesome app,1,1,1,1
592,app buggy workout don t want load get error message say try money invest expect deal right beginning usage update m miss,0,0,0,1
1303,s handy have guide use gym,1,1,1,1
516,love try app unfortunately past initial payment screen say server issue try change form payment freeze try forward change payment ve uninstalle reinstall app experience google pixel,0,0,0,1
1378,enjoy workout targeted program choose watch lexi s cooldown workout change app great use chance provide feedback workout bit whack,1,1,1,1
746,sell big commerce change love identity commercialise entity fire aussie engineering team app long function user worldwide access account cancel subscription people rely app physical mental health support year sudden rug pull beneath ok way issue handle unacceptable star,0,0,0,1
1436,awesome,1,1,1,1
366,love app easy use love workout ane variety app crash day today crash time,1,1,1,1
1420,advertise provide week free trial instead provide advertised trial period charge year subscription week,0,0,0,1
78,well gym,1,1,1,1
1421,good app iv ease use material fantastic definitely recommend,1,1,1,1
434,excellent collection workout include wide variety discipline level fitness,1,1,1,1
989,want try app hear free epidemic got charge decide wasn t update appreciate developer reach advise contact e mail receive tell small print cover end m year subscription fee simple mistake apologize truly sorry t attempt meet middle help tough economic time suggest charge month fee refund rest haven t hear feel like take advantage service promote good healthy lifestyle beware organization cash bank care people,0,0,0,1
903,way expensive war s worth,0,0,0,1
638,great app program lifestyle workout choose embrace worth time money,1,1,1,1
429,doesn t let sign free trial enter say error try later go day,0,0,0,1
628,ve think shape personal trainer tell exercise nutritionist pick food t afford centr fit answer workout varied interesting menu option awesome ve pick meal hit add list button shopping list week love day include meditation know s body,1,1,1,1
70,awesome,1,1,1,1
15,reason unable select subscription option right start register input happen reinstall restart phone want app shot,0,0,0,1
1475,ugh app stop work lose progress reinstall sure trust subscription app s stable like exercise s shame,0,0,0,1
620,love love love app join thor ahem chris hemsworth offer centr free hook pay member don t like gym love variety exercise try meal plan different need meditation say lot option type exercise,1,1,1,1
141,excellent starting point form work out roughtly min long choose intensity want ot r equipment make perfect home gym session like good centr program pick exercise personal trainer home get like exercise n feel strong,1,1,1,1
277,love particularly excersize program money spend,1,1,1,1
1340,late update app keep sign try possible way fix luck s week,0,0,0,1
259,brutal great workout,1,1,1,1
1216,free content force buy plan skip button,0,0,0,1
927,love app workout spot instructor great food cater perfectly vegetarian diet easily swap choose meditation sleep visual work haven t finish fall asleep see great change shape get strong sure wish d find soon waste money app past money spend,1,1,1,1
261,possible try give payment detail,0,0,0,1
680,make sense read article say app completely free pay home training gym equipment absurd concept app allow crossfit tabata hiit home weight,0,0,0,1
1307,heart app high quality video fun work out ton variety meal recipe don t cost earth obscure ingredient don t long busy parent ve go short m noticeably fitter strong,1,0,1,1
307,app hasn t work day keep say login expire log fix love app absolutely love app programme like centr motivated track meal delicious vegan section good variety option change meal good like suggest meal day swap,1,0,1,1
761,ve primarily open newbie weightlifting good mma drill go ve love experience notice increase skill strength stamina mention get good recipe help sort diet equipment trainer prefer highly recommend,1,1,1,1
854,definitely see body result like variation workout program mix haven t able menu good,1,1,1,1
990,don t recommend food meal plan difficult find ingredient expensive follow s option switch ingredient meal t set preference don t want certain ingredient workout ok workout s workout make awesome,0,1,1,1
811,day think hard day surprise,1,0,0,1
964,great app room improvement workout structured accessable challenging love variety program variety quality meal snack fantastic month s worth small annoyance s intro use app dig self guide workout t cast tv instruction form etc self guide weightlift sync w google fit use mobile app website overall great,1,1,1,1
748,okay subscribe free week m piss lock account not sign use old account info ask sign go week leave cool,0,0,0,1
617,bad app website doesn t work pay subscription service disappointing base fact app star work time good service app design well workouts recipe meditation tier flaw notice progress fitness follow app try,1,0,0,1
932,centr give workout recipe wellness need rounded active person love different trainer different approach fitness worth money,1,1,1,1
941,fix app work great week constantly log session expire middle workout s unusable right update actually t view error sorry drop dumbbell try shortly fix,0,0,0,1
345,worth instal totally mislead pay,0,0,0,1
43,app doesn t work long t log development team trash month ongoing t fix offer member comp trash,0,0,0,1
1476,day old try workout scam don t sign,0,0,0,1
866,good plan program change workout well nice guide,1,1,1,1
1283,app month commit workout meal plan p far result good m confident stick meal plan result extra ordinary finger cross,1,1,1,1
1328,m mean newbie pro care good app ve see s lay give ton choice food doesn t eat protein bar day day thank,1,1,1,1
101,expensive join gym instead,0,0,0,1
107,forget pay,0,0,0,1
603,want cancel subscription app website want let,0,0,0,1
1038,wow google support app rip consumer charge annual subscription don t want poor poor s bad alert refer t c s unbelievable charge year s worth hour slow chris hemsworth support lifestyle million byron bay company ethnical care m sure response standard prove zero care factor update confirm,0,0,0,1
875,fantastic app motivate good purchase,1,1,1,1
723,awesome far great vegan meal option,1,1,1,1
1424,excellent app level start beginner imagine far love,1,1,1,1
418,surpass training app offer variety training style have plethora healthy lifestyle resource nutrition meditation etc s,1,1,1,1
1122,trashh,0,1,1,1
128,got bill app trial period try tell customer service like free trial refuse say instal app early ask check app m sure log check win t say app good fix onboarding flow,0,0,0,1
1095,totally mislead chris hemsworth video like appear app bad write ask refund year old kid didn t want program say sign child think inspire honestly thing easy right actor make million refund s upset,0,0,0,1
757,charge subscription tell customer fradulent business model avoid cost,0,0,0,1
666,app website unusable day action perform result log prevent follow workout planning meal entire point have app prior app good need wish allow default day rest,0,0,0,1
244,read week free trial coronavirus let s face free publicity help problem t create account grey loading circle inputte nevernind,0,0,0,1
247,scam,0,0,0,1
1136,ability chromecast,1,1,0,1
1101,app enjoy single workout,1,1,1,1
430,app chris hemsworth fat thor summary provide coaching diet content t tailor user doesn t gather essential detail like bmi age provide diet exercise plan information ineffective well dangerous bad get freebie force pay year auto renewal expensive don t reccomme find content search engine free insincere developer response abound,0,0,0,1
32,late update break app constantly tell login session expire service cheap expect issue fix day week love service fix,0,0,0,1
1319,need,1,1,0,1
593,fantastic app love workout food option absolutely notch eat plant base diet delicious recipe ve taste thank,1,1,1,1
354,expensive poor customer service,0,0,0,1
425,recipe meditation great yoga video little hard way easy follow d great maybe diagram yin yoga tutorial like slow yoga,1,1,1,1
1350,love coached session app little user friendly term search type exercise option turn video music allow external music play work great workout complete track weekly calender bar daily planner,1,1,1,1
310,app save purchase app wasn t able continue martial art training economic reason type workout level coach professional funny make fun follow workout feel die diet plan convenient difficult quarantine true blessing tool goal,1,1,1,1
1232,thank iike free workout download home workout equipment thank,0,1,1,1
271,appalling customer service win t help interested take money actually make good app people want,0,0,0,1
908,app help consistent daily workout planner like great rotation exercise t bore program huge help momentum start way end right end finish line thank centr good adrian,1,1,1,1
473,awesome app use day week year definitely recommend,1,1,1,1
163,love make eat exercise easy,1,1,1,1
184,thor chris hemsworth miss action appear pay photoshoot moment sound bite stock footage work general misleading dissapointe s cool guy customer support empower way shape form refund accommodate way simply offer generic comment apology win t actually help amazing presentation weak service,0,0,0,1
743,careful sign auto renewal communication money like cancel review trial period auto renewal go turn bank look support help term condition reply,0,0,0,1
632,say s free trial try credit card detail money grab take advantage covid,0,0,0,1
773,huge disappointment m leave get touch day cancellation guy charge money account ask guy help cancel subscription pull money help receive money got pull leave feel scamme contrary initial generous free trial offer guy want help people covid lockdown period shocking disappointing,0,0,0,1
1054,actually free soon download sign pay s cheap,0,0,0,1
568,great guidance exercise food process enjoy life,1,1,1,1
435,subscribe app break user globe t login,0,0,0,1
1402,app allow downloading training half time time video start play training doesn t customize person intermediate training xx trainer super difficult vs intermediate training yy trainer good training good lifestyle app app allow slow mo video pre exercise pardon low intelligence exercise little complex eg hulk sequence,0,0,1,1
1172,terrible experience app support team recommend,0,1,0,1
1180,worth,0,1,1,1
192,coach workout great easy follow,1,1,1,1
907,bravo centr team love,1,1,1,1
304,pound year unacceptable,0,1,0,1
972,loke great fitness app hand worth meal plan meditation work coached self coach,1,1,1,1
63,worth money meal plan huge variety workouts equipment equipment option multi diet option well vegan ve find far thing ve find female portion size small male bf occasionally m leave hungry s ton snack option cheap gym love food gorgeous,1,1,1,1
1257,huh,0,1,1,1
991,update serving massive quinoa chickpea sweet potato buddha bowl example having move toggle single serve suggest follow g sweet potato half tin chickpea g quinoa ect particular meal absolute effort wasn t portion huge m not snack super dry starchy recommend dress,0,0,1,1
871,instal app march day free trial app leave question ig post response screenshot ask question ig send need thank don t option week free trial promote location,0,0,0,1
239,bad video quality past month not event video work computer mobile network issue not issue app,0,0,0,1
1221,complete good involve take care help motivate coach love recommend need change,1,1,1,1
492,program pretty good zero customization option reach customer service rude response think money thing,0,1,0,1
708,update barely log kick session expire s point matter log phone love setup hate app log problem,0,0,0,1
198,great instructor course ve see real difference health fitness,1,1,1,1
975,join app trying view video age load crash app t attach screenshot app crash nd time try view video poor impression,0,0,0,1
831,terrible problem app constantly stop workout video error message say video play technical error contact help team issue get email tell cancel subscription want look like go choice advise look app extremely buggy hope figure future,0,0,0,1
1147,app websire work,0,0,0,1
546,try free trial absolutely blow away year subscription fantastic change pace fitness regimen welcome switch home programming love require equipment kick ass food choice great haven t single meal s load enjoy choice love fact create shopping list grade,1,1,1,1
431,enjoy app program s easy figure suppose huge variety meal workout super beginner like meditation,1,1,1,1
30,finally app come android good glance easy use love add snack shopping list enjoy food s expensive choose yes suggest meal swap depend budget weekly workout fantastic quick compare,1,1,1,1
56,great work out gyme far good thing ve find give cater workout,1,1,1,1
1194,s time app like s boring way work repetition meal like expensive snack tough find climate affordable price wish didn t purchase cause similar thing free youtube m week week program fact s work schedule day repeat week s second week m lack motivation hard,0,0,0,1
1048,need money pay fit skinny like app,0,0,0,1
1287,great app fitness need place workout meal meditation article plan s super easy follow schedule,1,1,1,1
1358,pay year license app win t log week straight say session expire contact support get email youtube video pdf,0,0,0,1
1474,exceptional wourkout app,1,1,1,1
311,great great workout great recipe love,1,1,1,1
976,great workout m amazing effective short workout love far,1,1,1,1
822,love workout choose level beginner intermediate advanced great help progress love food haven t recipe haven t like overall highly recommend s want home workout minimal equipment,1,1,1,1
745,great app variety program meal,1,1,1,1
1205,lot program info like well datum tracking program,1,1,1,1
604,app awesome workout option awesome food awesome awesome thing use app internet connection spend internet fee try work cruise ship likewise work area bad internet wasn t able use travel work,0,0,1,1
820,easily good workout app ve try grow bored unmotivated go gym random routine find online centr allow enjoy work get great result month thank team amazing job,1,1,1,1
1429,try fitness app program past haven t able stick week time app stick routine month love coached self guide routine app ease use breakfast lunch dinner recommendation meditation kudo team,1,0,1,1
812,free,0,0,0,1
99,app life changer work diet inspiring possite people assemble calm inspiring gateway deserve load thank luke ashley michael rest amazing,1,1,1,1
1362,ve sign year subscription like content ui far think miss video master form outside workout session speak cue workout personal trainer correct poor form app ensure people master correct form ultimate improvement,1,0,1,1
441,sign keep say drop dumbbell try shortly like day,0,0,0,1
1052,great app love diverse workout select workout equipment want use,1,1,1,1
1325,instagram kieran thm result amazing app,1,1,1,1
900,absolutely love trainer meal especially meditation section t imagine centr,1,1,1,1
1105,love app s help fitness journey s get amazing meal selection great workouts yoga guide meditation,1,1,1,1
1002,nice involve couple,1,1,1,1
554,t load app use internet convenient probably stop shame ve see good point handy able record weight contact help desk tell contact play store real faff give,0,0,0,1
722,love app work free trial pay keep tell session expire log immediately say thing try use,0,0,0,1
1034,hey chris personally know trainer jess kilt date cousin year ago,1,1,0,1
706,buy yearly subscription cyber week deal lot cheap usually worth money workout meal perfect fitness level absolute beginner ve love variety workout meal meditation wonderful asset app consider get app highly recommend want wait deal come expensive,1,1,1,1
947,amazing app complete meal plan meditation need app,1,1,1,1
1472,good app variety program follow easy meal perfect,1,1,1,1
656,awesome work year great body mind love,1,1,1,1
237,brilliant start see huge result month stick result recommend,1,1,1,1
938,awesome,1,1,1,1
1452,special app stand app s justification expensive subscription,0,0,0,1
1460,app alright man term suck download free trial try discover wasn t uninstalle app clearly realise ve charge month chance refund,0,0,0,1
726,result body course week well go gym app program worth money result m get not wait result month m look forward pain gain s great support group facebook share progress tip m definitely follower let legend,1,1,1,1
362,work good work past week app crash let access login screen pay access kinda push bit hope contact asap ill contact cs team soon,0,0,0,1
236,sign week free trial advertise end getting charge day refuse refund instagram video post chris hemsworth state app mention website misleading,0,0,0,1
323,notify renewal bit strange app way notify renewal disappoint comment centr helpful assume year happen people having covid severely app year poor customer service,0,0,0,1
1091,refund money notify trial period end want use product family need money time crisis refund,0,0,0,1
933,probably favorite workout app ve try far workout video sub par instruction exercise feel rush trainer engage feel disconnected product like quickly exercise pool incredibly limited focus heavily equipment like dumbell ll quickly run routine,0,1,1,1
1426,unable create account recover old account,0,0,0,1
738,bad customer service mistake take fund early annual subscription ask politely change monthly feel care realise mistake take fund early refund keep subscription experience customer service team ve happily cancel good hopefully amazon s acquisition fix customer service team,0,0,0,1
1118,app suitable people suffer obesity s type level,0,1,1,1
545,reason give star attention love app add program planner feature like request,0,1,1,1
208,pricing high shouldn t require credit card free trial app link username free week require payment continue,0,0,0,1
1255,auto charge year refund sting difficult time,0,0,0,1
368,like say app buggy m day day trial t use app create account laptop app fail account create hope log app s luck guess ll stick nike training club,0,0,0,1
586,rate able login week fire entire team develop t fix issue month kind contractor company see app like fix asap,0,0,0,1
58,shouldn t pay live happy healthy lifestyle,0,0,0,1
289,hell workout motivating intense,1,1,1,1
333,fantastic workout app,1,1,1,1
382,price ludicrous installed see price uninstalled,0,0,0,1
769,login app log error reinstall time reset password work,0,0,0,1
1169,enjoy st day unleashed,1,1,1,1
1193,unfortunately disappointing t free app link video show basic workout recipe meal unrealistic ingredient majority people worth price online research experiment workout recipe suit,0,1,0,1
889,app excellent option variety change able bookmark favourite list workouts meditation sleep visualisation recipe etc,1,1,1,1
1134,multiple issue app mainly customer service app feature control content app vast initially like good thing app clunky enroll programme doesn t auto add daily planner app mean search time app say stretch session link workout aren t s unclear find s issue character,0,0,0,1
1179,exciting experience overall ve build muscle tone week home workout minimal equipment cardio vastly improve tell run express good program,1,1,1,1
1139,love great food plan good varied work out eat well work year old little intimidating accessable,1,1,1,1
790,love app ve lot app good far good love different workout trainer ve lose lbs far,1,1,1,1
1158,trash,0,1,1,1
233,cost worth,0,1,0,1
1341,chance stop getting log session expire time open app t open single workout reinstall log time tell subscription wasn t cheap,0,0,0,1
196,careful check billing subscription term condition unknowingly lock ongoing annual subscription pay month long service got charge warn realise hour refuse issue refund,0,0,0,1
1242,edit centr team threaten legal action defame centr negative review stay away neatly package garbage find workout free well app food recipe joke bland low effort unappeale chris hemsworth barely involved directly don t expect see ui app look nice s use free trial attempt rope pay highly overpriced service,0,0,0,1
81,log time log get bad day day s day reinstall yesterday money,0,0,0,1
1387,month,0,0,0,1
1167,workout scatter balance workout unequal rep left right s hard focus follow recipe look easy try win t renew free trial,0,0,1,1
111,garbage app run unethical people cancel sub play store get email confirmation month date log website restart membership today charge renewal fee forewarn support dreadful zendesk say tough luck bad terrible app terrible people hemsworth ashamed put unethical clown,0,0,0,1
1304,good fitness app ve use run recipe new thing try worth money especially effort app user friendly,1,1,1,1
759,brilliant struggle eating app time feel like fitness manageable,1,1,1,1
954,great diversity workout heap yummy meal great value money,1,1,1,1
1411,star s app constantly log session issue clear cache delete datum reinstall doesn t fix issue,0,0,0,1
1248,free trial lead auto subscription want,0,0,0,1
1100,love app s help train regularly stay consistent,1,1,1,1
729,shady business practice google search sign free,0,0,0,1
966,hadn t app summer busy kid got log t find pw try reset didn t receive email try email support keep get work s week haven t hear s unlikely go time waste ve experience lack urgency competency simple issue company business large small definitely renew,0,0,0,1
988,absolute scam go look like chris use copious amount steroid hgh lie,0,0,0,1
1098,app open ve uninstalle download t good idea app free trial waste money t access thank,0,0,0,1
970,charge cancel month ago have troubke try contact centr sort issue know rich rich take advantage rich famous,0,0,0,1
325,log weight set suck way price user friendly hard search want program name tell support rude deal workout nice interface s find well app cheap intuitive use lot good info inside,0,1,1,1
1469,love far m day feel change recipe taste great workout definitely push limit ve lift year recommend beginner advance,1,1,1,1
1007,installation create account ok fine account create pay go screen don t option s inside look nope pay skip button m uninstalle,0,0,0,1
1230,centr reignite passion fitness health meal plan recipe wonderful workout engage enjoy read daily blog post new fitness look healthy time shape ex high school jock complete gym rat s workout honestly t recommend app thank heart,1,1,1,1
317,dam hope free urghhh day trail isn t go fit anyways delete,0,0,0,1
