contents,star,agree,date
"Great app with room for improvement. The workouts are well structured and accessable but challenging. Love the variety of programs. The variety and quality of the meals and snacks are fantastic. At $10/month it's worth it for me. Some small annoyances: - There's no intro on how to use the app. You have to dig. - Self-guided workouts can't be cast to TV - No instruction (on form, etc) with the self-guided weightlifting. - Only syncs w Google Fit if you use mobile app, not website. Overall great!",4,26,2021-04-23 16:37:10
"A great app if you like working out at home. Different styles of work outs, different types of coaches. Has something for everyone, whether you're a beginner or more advance; it has meal planning, meditation. The only thing that prevented me from rating it 5 🌟 is some workouts can get repetitive and I would like if it can be a little more interactive .",4,11,2020-05-18 19:45:17
"Best investment, in my opinion. I'm self motivated and sometimes require a little direction, variety, and on occasion, a push. This app makes everything easy. The robustness of the workout variety is perfect for those days where I need something different. Because you know, it's opposite day. The meals are wonderful and the tracking is on point. Thanks Centr team!!!",5,25,2022-02-23 19:56:19
"I was skeptical at first, but the wealth of knowledge shared by these pros alone is worth it. Being able to swipe individual sets, jump into an all-new workout when you're not feeling it, and the nutritional tips are all fantastic. I do wish there was a log that would record all your completed workouts/meditations on one page, but maybe they'll update to include in the future ;)",5,35,2020-08-12 21:47:31
"update: so I signed up and tried the app, but just couldn't get into the workouts. enjoyed the meditation though. so I cancelled, but I still see I've been billed for three one year! 🙁 -‐------------------- Cant use free 7 day trail without signing up for a 1, 3, or 12 month subscription! I download with the intent to try it for 7 days to see if I liked it, but I don't like that it forces you into a subscription before you get to try it!",1,28,2020-02-04 18:21:07
"Overall pretty great app and program. A few shortcomings: meal plans are unrealistic unless you have a lot more time and money than the average person. Need a way to star/favorite certain workouts, curate our own plans. And definitely need a Roku app. But there's still a lot to like here, sticking with it for now.",4,4,2020-06-07 23:32:01
Have been using the app for 8 months now. Did the 1 year subscription. At first it had bugs but they worked them out. Easy to use and they keep making it better. They add new workouts and recipes to keep it fun. I took a few workout breaks as life got busy but could not give up the food. Doesn't feel like a diet. I just know how to cook now... If you stick to it getting into shape is inevitable. Highly recommend!,5,11,2020-04-29 01:48:47
"Fantastic app!!! Love the recipes, the workouts, and the meditation exercises! However this app is ungodly expensive, and I'm not talking about the subscription (which is also expensive) but the amount of groceries you need to buy, and time to make everything! Plus it often includes at least one ingredient I've never heard of and have to play detective to find. This app is a full time job! 100% recommend if you have free time and a good amount of disposable income. However this app is great!!",4,48,2021-02-11 23:47:43
"This app has everything you need and then some! I am never disappointed with a workout I conquer or a meal I choose to make! It has a variety of options at a variety of fitness levels. The meal planner has amazing options, things I would never thought I could eat while trying to get fit! It even has content that helps with mindset and mental health! The app is easy to use and functional, and gets better with every update!",5,19,2020-07-24 00:51:57
"I've been using the Centr site since the beginning, which had done pretty well on my Android phone. The workouts themselves are better for those looking to improve flexibility, the muscle building options are just ""ok."" This app was worth the wait! Buttery smooth interface, the workout checks off as complete when I'm done (the web version did not), and I can play my music while the video plays and still hear the trainer. Well done! 👏",5,32,2019-12-16 23:58:07
"Lots of potential, good so far! Workouts are good, but not a whole of options or flexibility just yet on programs or customizations. Nutrition menu looks good, but the variety every week makes it seem like the menu is meant for people with a lot of discretionary funds, especially when trying to cook for just one person. With COVID, a lot of my workouts were limited in equipment. I was saddened to see that Centr didn't allow for pausing of subscriptions or extending subscriptions though",4,4,2020-06-01 18:42:06
"I tried the first day for workouts and tried the meals and it is good. I like the wide variety of options that Centr offers. But, my one annoyance is that if my phone rotates or I change screen, the fitness app loses my progress through a workout. I have to scroll back down to where I was, which can be frustrating. I would of sent a note in the app with this suggestion but there isn't a section for that.",4,9,2019-12-17 18:26:53
"Work outs are good. I am at advance level. My reason for the one star is that the app doesn't work very well on Mac laptops, iPad, or Android phones. Yes I tried trouble shooting. There isn't much description of the movements either. No constant coaching just doing. And sometimes the videos keep going and going until you make it change next.",1,13,2020-04-05 18:40:13
"Not a terrible app, but has its flaws. A lot if videos on the app don't load fast enough to really keep watching one after one and it sucks to work out and have to wait for the video to load. Has good recipes and good workouts, including modifications for if you don't have all the equipment. Wish the workouts had some more variety though. Aside from those issues its $40 for a month! Which i only got because I had accidentally forgot to cancel my free trial.",3,18,2020-04-26 05:07:49
"Potential, but the app is too busy. There is a lot of content in this app, but unfortunately that strength is also a weakness. It's pretty hard to navigate around and find plans and programs that are right for you. Most modern fitness apps using AI and machine learning to tailor specific workouts to you based on goals, body weight, fitness experience, etc. This one makes you wade through a sea of opens and plans that quickly become overwhelming. More surveys with custom recommendations plz",3,21,2021-11-15 17:16:31
"I have enjoyed the app so far. It is easy to use and understand. The built in shopping list is arranged well, but could be improved to group things where you'd get them in the store, versus pantry item etc... The workouts and amazing and worth the subscription. If your in shape or want to get in shape/back into shape I highly recommend it. Give it a shot, what can it hurt aside from muscle soreness.",5,5,2020-05-26 01:09:35
"This app is by far the best exercise app I've ever personally used or heard of. I think most of what makes it so great is the planner which automatically plans your meals and gives you your workouts. There are small places where improvements could be made - I'd like to be able to add a program directly to my planner, and it would also be nice if there was a list of things that I should keep stocked in my kitchen for the meals, but those don't detract much from the perfect experience I've had.",5,63,2022-10-17 17:41:25
"Love it! I love that this app plans all your meals, including delicious snacks, workouts and meditation and sleep visualizations all in one. The meals are delicious and pretty easy to make with a delicious variety of snacks that are both savory and sweet. The workouts are challenging and you can adjust based on your level of experience.",5,4,2020-06-18 16:41:48
"The program is overall good, however, I'm giving 2 🌟 because the app crashes a lot. Sometimes it skip the rest, freezes and also it doesn't allow me to open it with my VPN. In addition, it looks like the body muscle program is made for men. Women have different body behavior and the program doesn't look to take it into account. I would like to see and improvement on it.",2,18,2020-07-03 14:01:28
"As someone who has done a few workout programs I would say this is my favorite so far. The meals they have aren't always easy to get ingredients for, but if you can make them they are tasty. You can swap meals, or can figure out your own diet plan. Being able to change the difficulty is great. The fact that you can swap a workout if you don't have the equipment or because you're feeling something else is an awesome benefit of this app. This is an awesome program. Thanks Chris and team!",5,2,2020-05-16 19:26:51
"They've built the workouts with alternative exercises for those who don't have fancy workout equipment at home. They include meditation guides and healthy recipes. I don't bother with them myself, but I appreciate the option. Personally, I prefer going to a gym with a coach who can guide me right then and there, but this was nice to have with covid shutting everything down.",3,2,2020-05-26 17:57:46
"Best whole person wellness app I've used!! As a wellness professional I looked for something to recommend to my clients that they will stick to. This has everything in one place (Workouts, Guidance, Meal planning/education, meditations) and they plan it out for you according to your preferences. You can swap out things that aren't what you want for that day easily. Love it🤩🤩🤩💯",5,4,2020-07-21 17:38:21
"Really not worth it as someone with an appreciable fitness background. Functional training workouts are good, but Torre workouts are repetitive and stale, focus too much on legs and overall the program is cookie-cutter, not very adaptive. I actually lost strength and some size in my three months on the program (used it through browser because the app wasn't out). It is a good for weight loss, toning up (maybe) or just starting, but not built for gaining muscle. Food is expensive.",1,26,2019-12-16 13:41:52
This app had really kick-started my fitness journey. I've been struggling for a while with eating and exercising. I started this during a free trial and liked enough that I opted to keep the subscription. They have guided and self-guided workouts with everything from no equipment to heavy equipment. They have some great recipes to enjoy. I've only been using the app for a few weeks but am already seeing and feeling results. I'm starting to look forward to exercising in the morning with this app.,5,6,2020-05-07 23:50:22
"The app is amazing! It's very convenient, exercises are shown with varying difficulties for beginners, intermediate and advance users. Alternative workouts also shown, excellent recipes that cater to vegans,vegiterians and everybody else with adjustable serving size. Please add option to save favourite recipes for easy access or add like/dislike option on recipes so that they can be repeated or replaced in the future.",5,1,2020-06-01 17:24:43
"Love that the app guides you on how to use it. Can be a little confusing at first. The couches guide you through the workouts before you actually start and you can pick whatever level of fitness to accommodate you. The positive podcast, health articles & sleep meditations are great. The meals are amazing and you save a grocery list on the app so you dont forget. Would recommend to anyone no make what level of fitness you're at.",5,3,2020-04-11 20:45:39
"You don't have to be Hemsworth for these exercises. They vary from absolute beginner to will hurt you with or without weights. Huge variety of exercises and recipes. They'll choose your foods for you and give you a shopping list if you want. The price is steep monthly buy quickly gets cheaper with a longer subscription. I've tried other apps but this one is the best, hands down.",5,29,2020-12-05 01:06:53
"Now with Chromecast support... Mostly First things first: the program works for me. Keeps me engaged, coming back, and it's constantly adding content. The app is now finally better than the mobile site. Quicker to start, search, no signing out after every session, etc. Now for the ""bad"": Chromecast is only available for coached workouts and programs, not self-guided. New releases aren't properly announced. I found out about centr6 through a third party news article weeks after release.",4,2,2020-05-13 22:38:03
"Great workouts! They are easy to follow, no matter you level. The app shows you how to do each workout as you are working the plan, instead of having to remember how to do the exercise... Which could lead to you doing it with or with bad form and hurting yourself! I'm glad I started using the app. My focus was one the weighted workouts, but the recipes and other exercises is a great addition to what I was looking for.",5,7,2022-01-17 16:13:32
"Superb, less of an app and more of a way of life. What I love is both the variety of extremely great exercises that includes everything from straight up weights to yoga and Pilates to some new styles of functional training and boxing, but also a huge selection of food and snack options, meditation and wellness advice. You can easily search and find what you want, or just let the system guide you based on your preferences. Can't recommend enough!",5,14,2021-03-26 14:22:10
"Great workouts with variety so far. Love the daily checklist of things to do with exercise, articles and meditation all in one place. Meditation and mindfulness is something I need more of and I appreciate the daily programming. Tried some meals but found them a bit bland so paused for a bit. May try later again. Overall even without using the meals worth the price IMO.",5,11,2021-04-24 14:02:52
"I was using the website for almost a year when the Android app finally released. Centr is reasonably priced, has great variety of workout types with enough routine built in to stick with it, and solid recipes with a meal plan schedule (this is harder to stick with for me since I get bored of meals quickly). The app is simple and works well. I do wish there were more features (some sort of stat log, sync to fitness tracker, etc), but I love the program.",5,4,2020-07-28 16:55:25
"I like this app. The recipes are surprisingly good. They use whole foods and consider texture, which is so important and often missed. I've also learned some important lessens about how to stay full during the day. I do wish the recipes were released more often, which may be asking too much. There is a big selection of exercise options. I need low to no impact and still found enough options to stay busy.",4,14,2022-03-01 04:56:52
"I know they are just getting started and I already love it, I know as they add more programs it will be even better, I love the modifications they offer also. Great app, great price. I have to agree with another reviewer about the warm up and cool down, a little variation would go a long way! It does get old to do the same (especially warm up) every day for weeks. Definitely not a deal breaker for me though :-)",5,25,2020-08-23 19:48:36
"Awesome all in one (meal, workout, meditation & sleep visualization) program. I've been using the app & program for almost 5 months now and love it. Having my workouts & meals in one app is a huge time saver for me personally. I have found the majority of the meals available to be very good and there is enough variety to where I have not had to make things over and over again. On a pure app basis the only issue I've had is meals not clearing when I hit done so I have to do this a couple times.",5,24,2022-04-23 22:11:45
"Great content and easy to navigate. I like that I can hit complete on a workout to track my progress in the Program, butit would be nice to filter which workouts I've completed in the other workouts. The big issue I have is with the meditation player. I'll hit play, exit the page and browse while it is still playing, return to same page but the player is reset while the same meditation is still running, which means I can't stop it. Playing a new one doesn't cancel the old, they just overlap.",3,19,2020-03-28 19:14:27
"Positive encouraging, non aggressive, while still pushing for more. Solid workouts that will give you what you put into them. Recommend seeing a personal trainer for a while to get your forms down and to modify exercises based on your body mechanics/restrictions. Still they have a good breakdown of forms at all levels so if you spend the time with them you will be able to do them properly. I originally signed up for 3 months, took a break, but am now on for a year. Solid app. Thank you.",5,45,2022-06-14 12:26:27
"Very polished and a well designed app. Love the cards based design and of course all of the info. Was training via the site option so having an app is incredible and convenient. One feature request is to have offline access similar to Netflix for example, at least limited for a few days when you travel and want to exercise but have no connection to wifi or network. A few other things are missing here and there, but otherwise love the program and the app. Cheers!",5,32,2019-12-20 17:57:44
"I LOVE this app! I never have to miss a workout when I'm out of town, and I always have the shopping list I need to make the meals for the week. I am thankful for the variety of workouts, the amazing and talented coaches, the helpful articles, and the great tasting meals my whole family enjoys! The layout is super easy to follow.. workout, meals and meditations all in one place. Couldn't be happier!!! Thank you, Centr!!!",5,11,2020-02-18 22:50:03
"Brutal, but in a good way! The app runs well and is trimmed down of features on others that I would never use. Casting to my TV makes workouts easy to do throughout my house and convenient when travelling. The team seems to really know their stuff and sort through the technical aspects to being you the most user friendly and seemless experience. Also having workouts based around bodyweight or minimal equipment is perfect for quarantine and beyond. Here's to many days of sweat, pain, and gains.",5,1,2020-05-25 15:34:38
"Great daily workout plan. I am not able to use the diet plan as much as I would like, but when I have the food has been fantastic. It's great being able to just often the app and follow the routines it has. Love everything from the weights to the yoga. The only downside is not being able to save workouts in the event you don't have service (which I do with work frequently). Highly recommend this app!",5,14,2021-12-12 20:24:27
"Beautiful but only for the entirely able-bodied. The aesthetics are great and the coaches lovely, but there's no option to avoid high intensity exercises in the daily schedule. For someone like me with a back issue, I can't just go with the recommended lessons but have to go find the Pilates or yoga exercises they have for myself. It's a shame, as I had already purchased a three month subscription but can't use it as much as I'd like.",4,0,2020-11-29 15:24:08
"I'm very optimistic from what I've seen so far. I love that meditation is part of the regimen. There are a few features, however, that I've found to be very helpful but I've not found them in a single app. Please consider: 1. Integration with Google Fit/other fitness trackers. 2. Weight training trackers/log (what exercises, how much weight, how many reps etc) 3. Ability to sort/edit meals that include certain foods (eg diabetic menu, allergies, or just plain don't like certain ingredients?)",4,42,2022-04-23 01:08:30
"Good exercises and workout plans. Terrible customization and interface. Would be 5 if we could pick our own program, filter/exclude certain exercises, better logging and graphs to track progress. Overall it's a pretty app with good content, but that content is too hard to use outside of the force-fed 'program'",3,64,2022-12-09 17:44:58
"I have been using this for a month now, and it is good so far. I need to expand my weights at home tho as I progress through because from what I gather, the exercises only vary slightly as you go from begginer to intermediate, and up. The only disappointing aspect of the mobile app (I don't know if this holds true for tablets) is when I'm using the coached/guided workouts when my phone flips betwe portrait and landscape it starts the video from the beginning... Annoying when in the middle of it.",4,25,2021-04-07 14:01:36
"For the first time ever I remembered to cancel a subscription before the trial period ended, but imagine my surprise when I was charged the full amount just 2 days later. I assume there must be a mistake, and log online to find that I still have an account somehow. I cancel again, and contact customer service to sort this out. Only to be told that I never canceled and will not be receiving a refund. Even though I've canceled TWICE and contacted CENTR within 24 hours of the charge. Terrible.",1,359,2022-06-24 21:47:59
"Program is good, but app needs refining. Suggestions: easier way to cast (i.e. from video, not desktop or through screen mirror) - MUST.  Save shopping lists or meal plans. Create & save user defined workouts from the self guided workout clips (mix and match!). Favorite meal & workout function to make it easier to repeat liked, disliked, ambivalent. At the top of the shopping list, the app lists all recipes. This should be clickable and single recipes easily removed not just a clear all.",3,8,2019-12-31 01:17:01
"I love this app. It's what I have been looking for. The ability to like or heart your favorite workouts or meals would be awesome. 10/12/20- update: This continues to be a decent app, if I could change 1 thing, it would be the menu. It is nowhere near realistic for people who work. Designer meals arent practical.11/15/20- I know I can switch my meals, problem is that they are unrealistic. I can guarantee the maybe 2% of people actually make these meals.",3,20,2020-11-16 02:57:53
"I was very hesitant to try this app when my fiancee found it a few months ago. I've been working out and playing sports competitively my whole life but had taken the last year off of fitness due to a promotion at work that increased stress and hours tremendously. I just finished week 4 of the Centr 6 program and WOW! I see a massive change in my energy levels, overall health and mood and yes..I can finally see my abs again! (Mostly). I would recommend this app to everyone at all levels!!",5,1,2020-04-26 04:02:48
"Love it. Centr Unleashed!!! Getting me though it. Suggestion, for the couched workouts and the program workouts. Sometimes movement variations are given halfway through the set or in the second round. Would be more effective for the a beginner to these movements to have all the information before attempting something they cannot really do and potentially hurt themselves only to later find out there is something more manageable until they can safely to the other stuff.",5,0,2020-06-16 11:22:59
"Such an amazing work out app! I use it everyday and it is WELL worth the money! It's super functional and easy to use. It's great for all different types of people whether you're a beginner or more advanced, you WILL find a challenge with this app!! They also have different payment plans and options if you aren't interested in having the app for a 12 month period.",5,0,2020-05-31 13:35:17
"I'm really disappointed with this. It's cheaply done. The routines on the 6 are good, but unless you're an expert, you'll find even the easy stuff difficult 1) there's no 10 sec back button. If u pause your body, it's tough to catch up. 2) there are no play by play instructions. You need to watch them at all times, which makes focusing on what you're doing yourself very, very difficult. 3) they don't show you how to perform a move, they expect you to know everything before you work out.",2,29,2020-04-06 19:43:24
"The app itself is worth the money. When my trial ended however... it billed me for the full year (102$) which was unexpected. It was not clear how the billing would be handled i was under the impression it would be 8$ a month. Aside from that, there is a ton of good info on the app so- definitely worth it.",5,17,2020-12-08 16:16:22
"Your shopping list is lacking, particularly around the understanding that people have other things besides your recipes that they might want on the list. These things easy get unintentionally wiped when starting lists or removing recipes. Also, meditation is so much more than a new-agey stress ball. Your content in that area disappointing. Great workouts and recipes!",4,7,2021-10-08 00:29:37
"Pretty good programming for almost everyone. I would like to see a body part exclusion from a workout. Some of either get injured or have lifelong issues. To be able to stick with a workout plan, but have other exercises recommended for our exclusions would be perfect. Outside of that I'm having a lot of fun. P.s. $30/month I feel like Thor should be in the list of coaches I can choose to pull a workout from.",4,10,2022-04-15 20:48:14
"App and general experience are worth the money, compared to competing alternatives. But, there's no native ability to cast the apps videos to, for instance, a Google Chrome Cast. A workaround for this ""in home"" is to use the Web App and cast the whole desktop of your computer. But latency issues not related to the app persist with that method specifically when streaming video, which is the whole point of this. Would love to see casting ability worked in to the app in the future!",4,10,2019-12-17 12:14:07
"Great App! The workouts are phenomenal and give you the variety that you need. I've been doing the muscle build and have been able to modify to fit my sever back issue. The daily meditation is clutch though.. I started doing it before we were all dealing with the pandemic, so it was already in my routine and has helped me immensely with my sleep. Highly recommend!",5,2,2020-04-07 03:00:44
"The app and the content itself are great BUT there's no offline playback function. You can't download a workout, not even temporarily, and the only solution given for this is to use their workout image option in the self guided workouts. So old fashioned!! With a 25min vid chewing up >1GB you'd better be somewhere that has wifi or upgrade your data plan! Definitely need a fix for this.",4,13,2020-02-09 13:35:11
"Love the app, it helps me get high intensity work outs in without having to shell out for too much equipment. I wish there was an off line mode though, would make it easier to do work outs outside. My only concern is that there is not an easy way to change my subscription plan. I started with only 3 months because I wasn't sure how I would like it (I love it). But now I want to change to the yearly plan and I'm not able to do that from the app.",4,0,2020-06-06 14:36:48
"I LOOOOOOOVVVVEEEEE this app. The variety of workouts and meals (and I'm vegan) makes it so easy to stick to. There are only a couple things that would personally make this better. 1. For the shopping list to group items together better. 2. I would love to be able to add programs I'm doing to my planner. I love seeing my day all laid out. And just wink wink Centr, an app on smart TVs would take this over the top!",5,36,2020-12-03 06:56:39
"These are good workouts, & the app is pretty easy to navigate with planner, workouts (saved/active), meal planning/shopping list. Workout wise, if ur the type of person that pushes hard when an instructor suffers along & completes workouts, I'd rate a few, like Centr Unleashed 1* star. They record 1 set & repeat 3 times, so they don't really do the work with u all the way through. Even warm up & cool downs r copied & pasted in every track. Voice overs r weak & demotivating. Better muted.",4,4,2021-03-02 02:42:18
"Centr is solid overall and my go-to workout app recommendation for friends. So far, over the past year, I've only had 1 login issue, which was solved after a day or so, and a few errors with pulling up the daily workout (which resolved after a force close / restart of the app). There's something for every workout goal/style and the meal planner is hugely helpful with scaling around your fitness goals.",5,11,2022-01-27 14:52:35
"Outstanding. The program has lots of variety and some of the best pandemic-isolation-friendly body weight and minimal equipment workouts I've seen. It's also great to have meal planning options built right in, which you can use as much or as little as you want. The app works very reliably and supports Chromecast!",5,1,2020-08-01 01:49:20
"This is probably my least favorite workout app I've tried so far. The workout videos are really sub par. The instructions for exercises feel rushed and the trainers are just not that engaging. They feel really disconnected from their product, almost like they had to do it quickly to just get it over with. The exercise pool is also incredibly limited and focus heavily on equipment so if you're like me and only have dumbells, you'll quickly run out of routines.",1,14,2021-02-10 19:36:29
"This app lacks customization in regard to the program you are put into. Very little questions are asked about health and fitness levels. There are no real goals or encouragements. This is a no frills fitness/diet app. No step or calorie counter, but they do provide a really good daily menu. We are a vegan home. The recipes provided were nice and filling. You can adjust servings and are.provided a grocery list. I just don't feel this app is worth the money right now. It's too simplistic for me.",4,3,2023-02-24 14:02:20
"I've really liked the so far. Workouts are great. Food is great (but tough to keep up with at times with kids). My only complaint is that there isn't a built in reminder system to help plan the day in regards to workouts, meditations, etc. I sit at my desk all day, so at times I forget to get up and move. Having a helpful reminder in-app that would get me up to walk and read an article or maybe do a meditation would make this the ultimate app in my opinion.",5,36,2021-01-06 13:37:25
"Fantastic exercises and trainers. I like that they don't just spend an hour yelling at you, but instead assist with form/ real talk. It provides recipes that are more enjoyable and ""normal."" Only one problem, the unlimited advanced week 3 day 2 is not checking off after completing it. Haven't had this issue before now.",4,10,2022-04-19 16:52:56
